selected_text,analyzed_polarity,sentiment_class
Another day @ Casino de Montreal,0.0,neutral
Morning! Bank Holiday Monday and the sun has gone - typical! Hospital for knee at 2:30 and then training at 6. Another  bust day,-0.20833333333333331,negative
saddens,0.0,neutral
just found out i have strep,0.0,neutral
I wish I could spend my last weekend as a high school student in burbank with everyone and not fly off to dc,-0.08,negative
"thanks for adding me, glad to have you",0.35,positive
Ugghhh,0.0,neutral
nice weather..,0.6,positive
Paranoid. I actually like it better performed live rather than the studio version.,0.21212121212121213,positive
going to the lumberjack party,0.0,neutral
Thank you OpenDNS for saving me from Comcast`s crappy DNS server. My internet is back up to par finally.,0.0,neutral
i believe that you are,0.0,neutral
shower before doctor`s appointment,0.0,neutral
"Hahahah,",0.0,neutral
not so fun,0.3,positive
Good luck whit the show,0.7,positive
i should be 'bus stalking' right now..i soo wish i were still meeting  today,0.2857142857142857,positive
finally got my SayNow account up and running  YAYY JBs got a Canadian SayNow number!.. is anyone else using their landline phone? CALL ME!,0.0,neutral
hate,-0.8,negative
Did I miss you going to The Killers or is it soon? Are you excited? I remembered I needed to ask you,0.375,positive
just woke up...for  once I managed to sleep in!! going out for lunch later then back to essay,0.0,neutral
jealous*,0.0,neutral
chill its da rihanna bob. If it was 16 in I`d have no problem!!! Lol. R u at school all summer,0.8,positive
hard,-0.2916666666666667,negative
feel bad ov,-0.6999999999999998,negative
Good Morning,0.7,positive
"And the city I love, Tucson, is the 18th most miserable",0.0,neutral
can`t keep eyes open....*shuts eyes*,0.0,neutral
weak,-0.375,negative
Sorry,-0.5,negative
goodnight twitterville! really enjoyed pearl harbor. now off to sleep and cuddle with my hot man!  i will have good dreams tonight! XOXO,0.5625,positive
a goo,0.0,neutral
fun,0.3,positive
"is hanging with Bryant&&Hailee, possibly Lafayette tonight. `nd i don`t know why i keep updating this because i have 0 followers",0.0,neutral
Happy,0.8,positive
its so pretty with the reflecting sunlight on,0.25,positive
"wow, 5 pm rolled around really fast.",0.15000000000000002,positive
useless,-0.5,negative
Worst day ever.,-1.0,negative
Loved,0.7,positive
Love,0.5,positive
****,0.0,neutral
hopefully,0.0,neutral
Hope ur all havin a nice Friday! Been feeling down this past week since my dog`s passing...,0.11481481481481481,positive
baby I`m in maryland I`m NOT gonna make it  BUT I will see ur sexy **** next sat in camden VIP....come early n hang!!!!!,0.2683919270833333,positive
tight this year,-0.17857142857142858,negative
i won`t make u cry,0.0,neutral
I SO don`t want to get sick,-0.7142857142857143,negative
will maybe have my cell phone soon ! Yeah !,0.0,neutral
fave,0.0,neutral
****,0.0,neutral
I`m soo jealous right now!!,0.4464285714285714,positive
Here comes the utter shite,0.0,neutral
missing my bffls! missing my friday night dates!,-0.25,negative
a good,0.7,positive
Is the Bee to Busy to talk to his buddy on Yahoo?,0.1,positive
or a punch the shape of the card on a card on a card on a card. and then ask people what it is. for free cards.,0.4,positive
i`m hoping they turned up.,0.0,neutral
cont...and then it goes to waste  no one likes stale sweets. That reminds me of this cute song called Stale Cupcakes lol,0.020000000000000018,positive
how cool will that be  she is so nice!!,0.64375,positive
g...I love the classics!,0.625,positive
*Wabble Wabble*,0.0,neutral
tonight my bed has been the Enterprise and I was Mrs Kirk,0.0,neutral
wish me luck,0.0,neutral
I just realized that im going home 2 weeks from today,0.0,neutral
likes,0.0,neutral
its weird; but i like it... a lot!,-0.625,negative
GREAT FUN,0.55,positive
aww. can you tell her to follow me?,0.3,positive
does the Creepy Lolipop guy play head esploder 5,-0.5,negative
I wish,0.0,neutral
Sounds great.,0.8,positive
I wish you luck though...,0.0,neutral
awwww bless her,0.5,positive
is nto milk deffo!,0.0,neutral
YUM!,0.0,neutral
lovely tweeters,0.5,positive
Heading home from Sacramento.  Will continue writing the WIndows Server 2008 R2 Unleashed book over the weekend.  Sigh  #window,0.0,neutral
awesome,1.0,positive
Off to class. Be back in about 2 hours!,0.0,neutral
. Not cool.,-0.175,negative
Thank you!,0.0,neutral
Hmm... the new sports catalog and card jitsu updates are not appearing for me,0.13636363636363635,positive
is not getting her posts posted to the topics,0.0,neutral
tired!,-0.5,negative
poo,0.0,neutral
Comment my new myspace pictures plz?,0.13636363636363635,positive
I`m not feeling very inspired today..,0.2,positive
"Hey,  I`ll be in sa then  maybe if we cross highways we can grab lunch?",0.0,neutral
Battery is going to die!,0.0,neutral
Happy Mothers Day to all the mommy`s out there!,1.0,positive
"i get less ideas every day, and every day",-0.16666666666666666,negative
Back at home and phone my grandma... I love her and miss her,0.25,positive
haha i love both of them,0.35,positive
All ready for costume making! But... there`s no one here...!,0.3125,positive
Happy,0.8,positive
You are too kind!,0.75,positive
good tip.,0.7,positive
loved,0.7,positive
working sucks bi,-0.3,negative
God Bless,0.0,neutral
IN $RF .94 - target $5.30.  OUT $DNDN @$21.85 near days low,0.05,positive
Upset,0.0,neutral
oh! so this could well be your last post!,0.0,neutral
we are tooo fly boo,0.8,positive
most of the time,0.5,positive
wish,0.0,neutral
"http://twitpic.com/67xv3 - Former Pawnshop were Jimi Hendrix got his 1st guitar, Seattle. Now a check cashing joint",0.0,neutral
that`s sad  what kind of mess are you getting into this weekend?,-0.025000000000000005,negative
complicated?,-0.5,negative
bored!,-0.625,negative
I am very bummed that there are no babydoll or spaghetti-strap tank Three Wolf Moon t-shirts. Love the meme; hate wearing a fabric box.,-0.03333333333333336,negative
t sucks,-0.3,negative
"And i ain`t happy go lucky, its just today... The world don`t feel ugly",0.14444444444444446,positive
"Editors read this and nod, writers read this and take notes.",0.0,neutral
shift time  bbye biochem waaaaahhhhhh!! http://plurk.com/p/wxizo,0.0,neutral
Happy,0.8,positive
thanks for your follow,0.2,positive
I know... seems that the whole fabric of our earth will now unravel - lol - I guess people have never seen bambi,0.5,positive
im going to work,0.0,neutral
We decided I`d probably forget I had it in my pocket and sit on it by accident,0.0,neutral
I`m now a member of the street!!,0.0,neutral
"lol we are going to place called frosties its a soft play centre it knackers them lol, then i get peace for the gym  lol",0.625,positive
fell on the sidewalk in harvard square.  stupid cobblestones!  now my hand hurts,-0.9999999999999999,negative
aw honey.,0.0,neutral
awesome.,1.0,positive
either my inerne is **** or my mind is but i`m pretty sure that it`s the internet,0.375,positive
"My dog is sick. I love that little doggie. He`s usually so keen and happy, but he doesn`t even want to go for a run in the forest today.",0.029642857142857148,positive
i`ve never been to the opera before...don`t think that was me,0.0,neutral
I was SUPPOSED to be coming...life got in the way lol give my friends a wild time!!!,0.49765625,positive
sad th,-0.5,negative
d missed everythin,0.0,neutral
is sad,-0.5,negative
is lets chat,0.0,neutral
awesome,1.0,positive
Baby was not herself after recieving vaccines,0.0,neutral
banging,0.0,neutral
envy,0.0,neutral
cats are gone.,0.0,neutral
You such a good friend <3 I miss you so much,0.475,positive
I`m gonna miss him!!,0.0,neutral
sick,-0.7142857142857143,negative
bored,-0.5,negative
spoiled,0.0,neutral
#wheniwerealad can you explain how that worked? lol  and no rude  explanations pleeezzze,0.47500000000000003,positive
"Insomnia at its finest. Go to bed at 11:30, fully awake at 2. Grrr.",0.0,neutral
It`s not easy for me but I try to make out,-0.21666666666666667,negative
worst,-1.0,negative
"oooh battlestar galactica is on the other channel. it`s the rebellion episode! man, i feel so sad about what became of gaeta.  i liked him",-0.018750000000000006,negative
sorry,-0.5,negative
chillin,0.0,neutral
"Dude you`re always going to midnight screenings! xD. I wish I lived in a city. Well, I do (until tmrw!) but it`s rubbish",0.0,neutral
"don`t think that went well,",0.0,neutral
sidekick,0.0,neutral
glad,0.5,positive
sorry,-0.5,negative
love,0.5,positive
how long did it take you to learn the song,-0.05,negative
man that sucks.,-0.3,negative
thanks,0.2,positive
"just got back from the pool, need to ice the knee",0.0,neutral
Mel? Where Are You You Shud Be Here At My House,0.0,neutral
"lol ik they are, but i figure i`ve kept it for a year+ without needing virus software or to get it fixed  sigh",0.45,positive
I am soo happy!,1.0,positive
LOL. About to leave.,0.8,positive
"aww , its ok,we ended up getting in later than expected and didnt go...I would of called you if we were able to, ...C U N Austin,",0.175,positive
well that does make me feel better about staying up even later to watch the daily show.   lay on the guilt agai,0.16666666666666666,positive
Not a problem,0.0,neutral
uld motiva,0.0,neutral
perfection,0.0,neutral
I`m really nervous ab,0.2,positive
i`m just chilling,-0.5,negative
Ooopps over slept. Is it really 10am? Best get up then and get my shizzle in gear,0.6,positive
THANKS!,0.25,positive
"Sitting, wondering, & wishing for a bunch of stuff that will never be",0.0,neutral
shower time,0.0,neutral
need to focus on kid`s packing but cant,0.0,neutral
hoping,0.0,neutral
I am so full. No more food tonight... I don`t want no cake and ice cream at this party.,0.04999999999999999,positive
that sucks mama,-0.3,negative
I wish you weren`t going to a 19+ venue in Vancouver,0.0,neutral
incredible.,0.9,positive
Happy Birthday to my ****,0.8,positive
"I didnt mind the movie myself, may be because Im not that big a fangirl myself",0.0,neutral
sadly.,-0.5,negative
hurts,0.0,neutral
t? I`d love,0.5,positive
sad,-0.5,negative
bugs,0.0,neutral
Almost lost my phone.,0.0,neutral
...Thank you Mr. President!.,0.0,neutral
"Things good over here. Lovely weather,",0.6,positive
amazing!,0.7500000000000001,positive
happy,0.8,positive
hate,-0.8,negative
Which is awesome.,1.0,positive
best,1.0,positive
working from home office today and catching up on everything except twitter,0.6,positive
haha,0.2,positive
My stomach effing hurts. Sadly there`ll be no gym class this afternoon,-0.5,negative
sadly ..,-0.5,negative
"the next single is 'Hey Lady'.ok, where is my million dollars??",-0.03571428571428571,negative
happy,0.8,positive
**** school!,0.0,neutral
"is back...been feeling ill and extremely busy all week. happy mother`s day, to all you mama`s out there",0.13333333333333333,positive
dead,-0.2,negative
m crying,-0.2,negative
going bad,-0.6999999999999998,negative
No credit left on my mobile sorry Brit! *pounces back* Thanksss Tania for the EPIC photoshoot,-0.13125,negative
"On a day like today I would wear shorts and tshirt, but now I`m at DHQ it`s office wear...",0.0,neutral
feeling like poo today,0.0,neutral
I think they make you turn your phones off  I`ll see what I can do!,0.0,neutral
I wish I had company,0.0,neutral
aaaawww  would u like an alcoholic beverage of your choice,-0.25,negative
My Power was cut off,0.0,neutral
boo,0.0,neutral
not happy!!! so,-0.5,negative
It was going to happen one day but I so feel for the girl AND her mum,0.0,neutral
Stupid idiot who ran a stop sing and almost killed me and my car!,-0.6166666666666667,negative
y regretting,0.0,neutral
awww I wish I could have been there  I`m stuck here about to jab out my eyes with knitting needles,0.4,positive
hope,0.0,neutral
Good,0.7,positive
bored..,-0.5,negative
can you follow me please?,0.0,neutral
youtube not working,0.0,neutral
Howdyyy,0.0,neutral
expected,-0.1,negative
"i definitely will , although with the caveat  that i normally only read non fiction..but have more in recent years read novels",0.125,positive
miss,0.0,neutral
I don`t ship out until October,0.0,neutral
Hilarious,0.5,positive
yep! jimmy buffett FTW!!!... jimmy needs to tweet his words of wisdom every morning,0.0,neutral
"maaate,grooovin was off the chain. uploading videos to youtube  www.youtube.com/sluzzaa  go watch!",0.0,neutral
What a genius.,0.0,neutral
good to know,0.7,positive
nursing my scratches and bumps from Festivus mud wrestling. I swear there`s still dirt in my hair but a good time was had by all,0.7,positive
d tell you love you 2 oxoxoteambreezy,0.5,positive
she said no,0.0,neutral
I can`t believe how fast this week has gone by,0.2,positive
Soooo happy your back!,0.4,positive
Listening to Obama with one ear & listening to music with the other,-0.125,negative
", finally, someone spreading the Hayley Love via Twitter. Welcome to the club, Taylor.",0.43333333333333335,positive
"man, 4 months until we get to see what those drunk tweets were all about",-0.5,negative
mayb this will help u fix it,0.0,neutral
missing,-0.2,negative
"Because pop culture is beautiful. Also, you can`t pull weeds wrong. I promise. You can practice on my yard if you are nervous",0.175,positive
a very Happy Mother`s Day!!,1.0,positive
Cried,0.0,neutral
great party alenka!!  happy birthday chicky!,1.0,positive
my head aches badly,-0.6999999999999998,negative
the sun is shinning! im off out!!,0.0,neutral
lol.,0.8,positive
fan too,0.0,neutral
connection errors a plenty.,0.0,neutral
"sorry guys,",-0.5,negative
and young ones....'look what I found'....'breakfast'....,0.1,positive
Just got my heart ripped out  i love you guys,0.5,positive
"actually darn,",0.0,neutral
"unfortunately I know I would like them - which is why I am avoiding them,",-0.5,negative
aww  cant wait till u get 2 Sydney ;D i missed out on tickets tho.. :O ****,0.20000000000000004,positive
Thanks for the song! Youï¿½re awesome.,0.625,positive
i told diamond to follow you. and why u aitn share the starburst,0.0,neutral
excited,0.375,positive
These difficult situation force us to think about marrying a lovable girl,0.0,neutral
you and I apparently  how are you?,0.05,positive
wtf happened?,-0.5,negative
good,0.7,positive
One of these times I`m going to have the self-awareness NOT to ask one of the principle mourners at a wake how they`re doing.,0.0,neutral
! Please,0.0,neutral
worst,-1.0,negative
just got up  Wheres the sun? =O,0.0,neutral
sorry,-0.5,negative
getting shows can be an interesting process.,0.5,positive
I`m glad to see,0.5,positive
Sad,-0.5,negative
hey hey hey b,0.0,neutral
Well its a good thing ``march`` wasnt very long and i didnt like it...cuz its deleted. Ugh,0.3175,positive
http://twitpic.com/4jhp8 - Waitin on them 2 tell me what`s the plan,0.0,neutral
? did ya have fun? love ya girly!,0.4625,positive
Thanks,0.2,positive
i love cobra starship!!  thanks for the suggestion!,0.515625,positive
awwww wat i was gonna buy myself something pretty  nvm,0.375,positive
**** it,0.0,neutral
o bad,-0.6999999999999998,negative
nervous,0.0,neutral
"I agree, keep it in Star Trek but make it commercially viable! C`mon!",0.0,neutral
enjoy,0.4,positive
Signing off. Mom`s day tomorrow.,0.0,neutral
great,0.8,positive
no one told me the mutual admiration society was meeting,0.0,neutral
is it true you have a part in Neighbours?? I have been brought up watching that show..I wanna be on it,0.35,positive
did you run into someone I know this weekend?,0.0,neutral
such a classic,0.08333333333333333,positive
Is listening to the new jonas brothers song,0.13636363636363635,positive
Sexxxy tiiiiiimmmmmmeee!...whatever that means.,0.0,neutral
i`m staying up to watch it,0.0,neutral
my stomach actually hurts.,0.0,neutral
is feeling really sick,-0.7142857142857143,negative
Hopefully,0.0,neutral
Would love to,0.5,positive
play vanessa hudgens new songs plz or vfactory,0.13636363636363635,positive
no window seat,0.0,neutral
Happy Star Wars Day! May the 4th be with you,1.0,positive
"Entered house searching mode yesterday... we need to find an apartment in Dï¿½sseldorf until the end of August, this one was temporary..",0.0,neutral
I`m a lil sad,-0.5,negative
hasn`t recovered-n,0.0,neutral
want to charge way too much extra for it,0.0,neutral
bad,-0.6999999999999998,negative
soooo jelous of you,0.0,neutral
I work at a movie theatre in Toledo and I`d let you come see it for free. But it`s not in 3D,0.4,positive
and that prob wont happen....,0.0,neutral
e when you`re calling this the shitshow you mean that in a good way. because this will be fun.,0.22916666666666666,positive
Thank you,0.0,neutral
sad th,-0.5,negative
Just a Chillin.,0.0,neutral
stuck,0.0,neutral
I`ve run out of texts!,0.0,neutral
"Come on, man, give me some slack!",0.0,neutral
celebrating,0.0,neutral
beautiful weather.,0.85,positive
stressful,0.0,neutral
#itsucks,0.0,neutral
", sounds even enough to me",0.0,neutral
hard,-0.2916666666666667,negative
babysitting my hubby cam cam,0.0,neutral
that would be great!!!,1.0,positive
_gutter Trent wore that shirt at my show,0.0,neutral
Woohoo! Well Done!,0.0,neutral
Wishin I didn`t have to work,0.0,neutral
I`m glad/sad that it`s not just me/my iPhone  #badoptus,0.0,neutral
so haven`t seen any videos the last few days  hope everything is ok...,0.09999999999999999,positive
Chillaxing,0.0,neutral
"lol i know eric, i wont delete you! just people i dont really know and never talk. and bands",0.6,positive
I`m going to watch it now,0.0,neutral
missing,-0.2,negative
sitting next to magicmoment,0.0,neutral
As if teenagers need any more encouragement,0.5,positive
Sick..,-0.7142857142857143,negative
better,0.5,positive
calms me down.,-0.15555555555555559,negative
"Up early so washed and waxed the car. I`m sure the neighbours think I`m mad, I wash it nearly every week.",0.018749999999999996,positive
t don`t understand,0.0,neutral
"Oh, time to eat and make conversation with the domestic partner.",0.0,neutral
would be amazing,0.6000000000000001,positive
Please everyone to vote for me to become the next Maxim Coors Caddy girl...only takes a few minutes,-0.1,negative
They cancel flights and don`t have a lot of backup planes. And no first class,-0.125,negative
happy,0.8,positive
Chabibi. It`s a long running joke. I don`t give a flying **** if anyone follows me at all!,-0.0625,negative
Finally,0.0,neutral
saddest,0.0,neutral
hard to say goodbye,-0.2916666666666667,negative
is easier this way in my phone... I will twittpic from my pc later on I did it this morning with p. Diddy pic,0.0,neutral
Stupid COMM class,-0.7999999999999999,negative
diiinner  its sooo cold right here D:,-0.15714285714285714,negative
the end when they sing this is me and when they sing play my music,0.0,neutral
Good Morning twitters!!! I am soooo tired...I really need 2 stay off of twitter...LOL this **** is taking over my life...LOL,0.6,positive
like,0.0,neutral
hoping i didn`t fail english. that would just be sad,-0.3333333333333333,negative
miss,0.0,neutral
Attach him to  after all mammals mammary glands will produce milk.  Or may be formula?,0.0,neutral
No luck for PC gamers,0.0,neutral
ah! i almost missed snl. thanks twitterfriends,0.2,positive
im so sick,-0.7142857142857143,negative
That`s how you go from series to season. The days of being an elite team are over in Dallas. EPL Derby Day tomorrow. Tell me what I miss.,0.0,neutral
"Talented,",0.7,positive
a second chance shudnt have. mowgli didnt. gutted,0.0,neutral
be usefu,0.0,neutral
"yes DON`T FORGET the koala pics   I`m pubquizzing tonight in the 11e if you`re back in time. Sinon, mardi?",0.0,neutral
Thanks to all who follow me  ... wish ya`ll the best ;),0.48333333333333334,positive
Thank you,0.0,neutral
Beautiful,0.85,positive
"yum, yum.",0.0,neutral
_addict yeah like super short  I guess I`ll just have to hold my breath till Sunday.,0.16666666666666666,positive
I want to play audition with Anna,0.0,neutral
I`m sick,-0.7142857142857143,negative
strained my back  Hope it`s better tomorrow morning..,0.25,positive
cut myself,0.0,neutral
freaking out,0.0,neutral
"spray tan = fail on legs and feet. I`ve been scrubbing them and feet look better, but they looked awful this morning  Everywhere else = ok",-0.125,negative
i`m pretty scared.,0.25,positive
stopped,0.0,neutral
God I just want to sleep.,0.0,neutral
you awesome lady you!,1.0,positive
getting ready for work,0.2,positive
thankfully,0.0,neutral
LOOPJAZZ  yess!!! ez most bejï¿½n,0.5,positive
"go to vegas, but don`t spend all ur money!!!!",0.0,neutral
Apparently not.,-0.025,negative
new super power camping place -> 24 hr MAC @ Springleaf Tower  ...still eating my fries.,0.23484848484848483,positive
"I can`t go out when my heart is home sick  even if it is my bday, family health comes 1st",-0.7142857142857143,negative
wondering what misery looks like? look at the faces of all the cubs fans at miller park tonite. sorry chicago friends. tonights our night,-0.5,negative
missed,0.0,neutral
says she wants to be w/ marykay @ sendai right now,0.24285714285714285,positive
fun,0.3,positive
"nope, would be no music",0.0,neutral
"Prolly going to Jamba Juice in thirty minutes , shop for awhile then hit the airport and see my daddddd.",0.0,neutral
Going to see Star Trek,0.0,neutral
"is aching from rugby, good game",0.14999999999999997,positive
its almost your birthday!!,0.0,neutral
nice showers...,0.6,positive
funny,0.25,positive
she`s probably worried  srry hun,0.0,neutral
Thank u,0.0,neutral
. I want all the soldiers to come home so we don`t have to hear about anymore being killed.,-0.2,negative
good weekend,0.7,positive
an interesting guy,0.5,positive
hmmm they are on offer in Tesco as well but I don`t think the wee one next to me will stock them!,0.0,neutral
my fav host ever!,0.0,neutral
that doesnt look very promising,0.26,positive
Guess I have to go back and scrape out the oven now. Blerg,0.0,neutral
Happy star wars day everyone,0.8,positive
Friday!!!!!!!!!! Wooo and nothing to do.  Nuggets better pull it off tonight.,0.5,positive
Having a pj dayy.....Doesnt happen veryy often,0.0,neutral
welcome.,0.8,positive
so sad ab,-0.5,negative
me too,0.0,neutral
Enjoy...wish I was there! Nice day in Springfield today,0.6,positive
oh no!  i`m sorry,-0.5,negative
"good,",0.7,positive
I have a license and a car..at least for now.,-0.3,negative
couldn`t participate,0.0,neutral
I hope it`s something relatively minor and easy to heal. I can`t stand it when the furbabies get sick.,-0.11031746031746031,negative
it`s awesome.,1.0,positive
but cant get home,0.0,neutral
love,0.5,positive
Thanxs,0.0,neutral
@_NewAmerykah_ im alllllllllllllllllllllllllllll about that... a **** woke up late... didnt get my breakfast (wakenbake),-0.3,negative
Funny,0.25,positive
you forgot your fans too!  haha,0.2,positive
I know but unfortunately I`m one of the fifteen bazillions of Americans without health insurance.  awesome,0.25,positive
Happy,0.8,positive
kick me,0.0,neutral
sad,-0.5,negative
i haven`t really been happy,0.5,positive
system is DEAD!!,-0.3125,negative
Goingg to school today,0.0,neutral
Cleaned out my Followers List and blocked the **** girls & **** Now I look like a spammer,0.0,neutral
Watching the 3rd episode of JONAS,0.0,neutral
Jogged in the forest with Nina. Heavy wind reminded I need to set up some turbines: free electricity.,0.1,positive
fail,-0.5,negative
sad,-0.5,negative
In 1 horse town + 2 blown out car speakers =,0.0,neutral
miss,0.0,neutral
pool is still closed  and it is cloudy. what should i cook tonight?,-0.1,negative
do u ever answer ur fans on here?? i wish u would. i have a question i`ve been wanting to ask u for months,0.0,neutral
_B all the shows are sold out  so I have to wait til tomorrow or sunday...,0.0,neutral
sunburnt,0.0,neutral
So jealous.,0.0,neutral
FRUSTRATING!!,-0.625,negative
bruised.,0.0,neutral
thanks,0.2,positive
i got grounded,0.0,neutral
i see i gets the no love   whats up with that,-0.25,negative
miss,0.0,neutral
its my last friday of my high school years!,0.1,positive
sad.,-0.5,negative
On tha` bus,0.0,neutral
s truly enlightening,0.3,positive
"thanks,",0.2,positive
They are my favorite- besides the fact they are slowly killing themselves with each shell they open.,0.06666666666666665,positive
h lovely,0.5,positive
Home from China & back to work,0.0,neutral
Scrub and moisturize... doesnt even sounds like `showering`... maybe u should be inclined to follow me en. rephael,0.0,neutral
yeah. haha! why?,0.25,positive
Michael Cera has a new movie!,0.17045454545454544,positive
im sick.,-0.7142857142857143,negative
Omg! Really? I just ran into a wall,0.2,positive
Got into the show early. Jackson`s chillen. Lil shorty,0.1,positive
? It is very sad,-0.65,negative
t sucks,-0.3,negative
I do! But I have to go to a dang wedding in madison,0.0,neutral
bored,-0.5,negative
"is abit happier at the thought that Ashleigh & Loocie with be here soonish, but sad to miss her S-ane  ;)",-0.125,negative
I feel like I`m going to toss my cookies,0.0,neutral
hope,0.0,neutral
shakalohana week two of flat wavez no surfin,-0.025,negative
My best Tip.,1.0,positive
excited,0.375,positive
Yep- same here. I have to be in the mood 4 it.,0.0,neutral
bored,-0.5,negative
sadly,-0.5,negative
driving me nuts..,0.0,neutral
depressed,0.0,neutral
Twitter is slowing me down today.,-0.15555555555555559,negative
say a hi to me tom  please please,0.0,neutral
interested,0.25,positive
cool,0.35,positive
rocks my socks,0.0,neutral
loved,0.7,positive
Listening to Hey Zulu - Red n` Meth. Sux to be at work right now,0.14285714285714285,positive
sad,-0.5,negative
careless,-0.5,negative
Really really cant sleep  x,0.2,positive
aww,0.3,positive
On the way to sthlm - it will maybe be a movie,0.0,neutral
Happy Birthday Chip`s sister,0.8,positive
whew finally got in to RC..,0.0,neutral
"****, my photo is gone!",0.0,neutral
this is sounding like the worst lurgy ever - the one that just won`t go away ..  ...are you ready for end-of-rope action yet??,-0.23333333333333336,negative
I AM A CHILD OF THE DIGITAL AGE I USE TWITTER TO ASK SUCH QUESTIONS do not bring logic into this,0.0,neutral
Yayz! Today`s is the day I call and see if I got that job! x3 I ish so happy... even though I slept horribly... So I`m kinda drained...,-0.09999999999999998,negative
i feel fine!! An,0.6510416666666667,positive
lol yeah I guess you have a point,0.8,positive
headache,0.0,neutral
nice angle though...,0.6,positive
Happy Star Wars,0.8,positive
lol to see my king,0.8,positive
interesting,0.5,positive
Great,0.8,positive
"Marley won`t watch the French Open unless it`s in HD, which it`s not...   But my latest political ad is:",0.125,positive
any gear you don`t use anymore and want to throw away?,0.0,neutral
Happy its the weekend...LOVE has knocked me down ya`ll!!!,0.24809027777777778,positive
"cool,",0.35,positive
"Aw, sorry ur day sucked!  Did u see my post abt car issues? LOL I think it`s safe to say it can only get better tho. Beer-thirty?",0.23500000000000001,positive
i HATE it,-0.8,negative
: Oh its begun long before this!,-0.0625,negative
that`s what i was last night,0.0,neutral
do it and I`ll give you the first hug,0.25,positive
bored,-0.5,negative
_Nessiah Yeah I will  In fifteen minutes or so.,0.0,neutral
ugly,-0.7,negative
that`s really quite nice,0.4,positive
"Hope you`re well, sister",0.0,neutral
I want to play,0.0,neutral
thanks! You`re the first one to wish me a happy mother`s day,0.43333333333333335,positive
im the only ho that didnt go to tigerheat tonite,0.0,neutral
liked,0.6,positive
tired as hell!!!! be,-0.9765625,negative
On duty in the students union with only 3 punters. There are more of us here than members of the public,0.16666666666666666,positive
love,0.5,positive
Love your website!,0.625,positive
excited,0.375,positive
may the 4th be with you,0.0,neutral
mady were did u go?  truck did u run away?,0.0,neutral
Yep: http://bit.ly/15yyId  We go there for Christmas treats!,0.0,neutral
"John, are you sure we aren`t mtb?",0.5,positive
angels even though I`m probably not the third... ANGELS AND DEMONS,0.0,neutral
which i offiacial suck at,0.0,neutral
Ugh!,0.0,neutral
I`m going to try & get some sleep. I got work mostly all day & I`m training for bakery also. Glammyyy crocker on deck. Lmao. Text or call,0.55,positive
t I`m happy  ... YAY,0.8,positive
bad choice,-0.6999999999999998,negative
awesome!,1.0,positive
i m totally confused and bored..,-0.45,negative
problem.,0.0,neutral
It be pretty good,0.475,positive
miss,0.0,neutral
"_dee yeah, i bought some when I was making those crispy waffles",0.0,neutral
http://twitpic.com/4uy8l - LOL  why are they drumming there?,0.8,positive
interested,0.25,positive
Ok just woke up and need to get ready before a day of getting twitterena 2.1 submitted!,0.375,positive
excited!,0.46875,positive
Tempted to buy MAC at ACW....even though I don`t need anything....but I want to try dazzleglasses,0.0,neutral
night night twitter world. [still cant believe the thomas thing  tomorrow`s gunna be FUN/SAD],0.0,neutral
Is eating BBQ Jalapeno Torta Subway from Los Chaparros right next door..,0.14285714285714285,positive
memorize,0.0,neutral
"s  i agree it`s very important,",0.52,positive
Fail.,-0.5,negative
Bored and lonely at work,-0.3,negative
afraid,-0.6,negative
just got home from doing the big shop totally munched out because i was so starving and im at weigh in in the morning oops,0.0,neutral
audiotistic! sneak your little butt in,-0.1875,negative
s fun,0.3,positive
miss,0.0,neutral
_Hall Is that why you aint answer my call? Thought we were homies!?,0.0,neutral
tired as ****.,-0.4,negative
Do you not like turtles?,0.0,neutral
"Got my prints a few days ago, ready for the No",0.0,neutral
"Hey,  Thank you SO much for the #followfriday. I failed miserably to get a list together this week",-0.43333333333333335,negative
Wonderful,1.0,positive
Good to have both,0.7,positive
nervous,0.0,neutral
starting to pack stuff up,0.0,neutral
hurt,0.0,neutral
"She`s an amazing mum,",0.6000000000000001,positive
She did well and only checked her phone 80 times,0.0,neutral
dream,0.0,neutral
not doing relay  oh well.,0.0,neutral
jolly good last night,0.35,positive
Is it possible to a have phobia of phobias? Afraid to look at list.,-0.3,negative
needs some snuggle time....  but has to get through the work day first.  Boo.,0.25,positive
dead bird,-0.2,negative
earned me,0.0,neutral
aww i`m sorry   glad mommy took care of you. erin is in for some fun if there`s a bug on you in colorado,0.15,positive
hello twittttty world! how do you do?,0.0,neutral
"On the way to Wildomar, CA towing the Lexus",0.0,neutral
_y_Tony Hey,0.0,neutral
Goodnight,0.0,neutral
cool  that`s good.,0.5249999999999999,positive
Poor,-0.4,negative
OUTSTANDING!,0.625,positive
t I can`t write fast enough,0.1,positive
"Like the Simpsons? That`s like asking, 'so you like breathing?'",0.0,neutral
it`s so not TGIF for me!!,0.0,neutral
"lol, wen my mum used to take me as a kid, i wud always eat the bread instead! haha.",0.6,positive
Happy Mothers Day to all the mom`s around  Hope you have a wonderful day!,0.9,positive
Demon Sam!! I need it to numb the pain,-0.6,negative
sry,0.0,neutral
valiantly!,0.0,neutral
hope`s,0.0,neutral
haha ...i`ll let you know how the show was ... hope here in romania they will show it on Mtv.Sunday morning I have an exam,0.2,positive
GOOD MORNING TWEETER WORLD!,0.875,positive
Sadly not,0.25,positive
loner,0.0,neutral
